check_id	result	detail	artifact
BL058-C1-backlog_doc_exists	PASS	runbook present	/Users/artbox/Documents/Repos/LocusQ/Documentation/backlog/bl-058-companion-profile-acquisition.md
BL058-C2-companion_runtime_exists	PASS	companion runtime source present	/Users/artbox/Documents/Repos/LocusQ/companion/Sources/LocusQHeadTrackingCompanion/main.swift
BL058-C2b-profile_core_exists	PASS	matcher and calibration profile core sources present	/Users/artbox/Documents/Repos/LocusQ/companion/Sources/LocusQHeadTrackerCore/EarPhotoMatcher.swift
BL058-C3-readiness_state_contract	PASS	runbook readiness contract present	/Users/artbox/Documents/Repos/LocusQ/Documentation/backlog/bl-058-companion-profile-acquisition.md
BL058-C4-bl077_capture_script_exists	PASS	BL-077 capture harness script is executable	/Users/artbox/Documents/Repos/LocusQ/scripts/capture-headtracking-rotation-mac.sh
BL058-C4b-profile_acquisition_ui_surface	PASS	capture/apply controls present in companion monitor	/Users/artbox/Documents/Repos/LocusQ/companion/Sources/LocusQHeadTrackingCompanion/main.swift
BL058-C4c-local_match_and_profile_write	PASS	local matching/profile write path markers present	/Users/artbox/Documents/Repos/LocusQ/companion/Sources/LocusQHeadTrackerCore/EarPhotoMatcher.swift
BL058-C4d-privacy_no_network_static	PASS	no network URL literals found in companion sources	/Users/artbox/Documents/Repos/LocusQ/companion/Sources
BL058-C5-bl077_capture_consumer_contract	PASS	BL-058 consumed BL-077 capture harness contract artifacts	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl058_companion_profile_20260317T042349Z_73281/capture_consumer_bridge.tsv
BL058-E2-companion_binary	PASS	companion binary present	/Users/artbox/Documents/Repos/LocusQ/companion/.build/release/locusq-headtrack-companion
BL058-E3-selftest	PASS	selftest exit=0; results tsv present	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl058_companion_profile_20260317T042349Z_73281/selftest/selftest_results.tsv
BL058-E4-manual_capture_flow	PASS	selftest nearest-neighbor roundtrip=PASS	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl058_companion_profile_20260317T042349Z_73281/selftest/selftest_results.tsv
BL058-E5-embedding_latency	PASS	match_latency_ms=0.1050	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl058_companion_profile_20260317T042349Z_73281/selftest/selftest_results.tsv
BL058-E6-privacy_no_network	PASS	no ear photos on disk; static URL scan clean	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl058_companion_profile_20260317T042349Z_73281/selftest/selftest_results.tsv
BL058-E7-send_gate_closed_until_sync	PASS	require-sync: packets_sent=0 gate_open=false	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl058_companion_profile_20260317T042349Z_73281/readiness_snap.tsv
BL058-E1-execute_todo_rows	PASS	execute mode has zero TODO rows	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl058_companion_profile_20260317T042349Z_73281/status.tsv
lane_result	PASS	mode=execute;bl058_contract_pass	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl058_companion_profile_20260317T042349Z_73281/status.tsv
